
Ted Cruz,Republican,701,39.250%
Rick Santorum,Republican,3,0.168%
Carly Fiorina,Republican,2,0.112%
John R. Kasich,Republican,149,8.343%
Rand Paul,Republican,2,0.112%
Jim Lynch,Republican,1,0.056%
Mike Huckabee,Republican,11,0.616%
Uncommitted,Republican,10,0.560%
,Party Total:,"1,786",
,,,
Austin Petersen,Libertarian,1,25.000%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.000%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,1,25.000%
Uncommitted,Libertarian,2,50.000%
,Party Total:,4,
,,,
Uncommitted,Constitution,1,100.000%
,Total Votes:,"2,356",
,,,

U.S. President,,,25 of 25 Precincts Reported
Hillary Clinton,Democratic,"1,378",44.523%
Henry Hewes,Democratic,2,0.065%
"Roque ""Rocky"" De La Fuente",Democratic,2,0.065%
Bernie Sanders,Democratic,"1,678",54.216%
Keith Judd,Democratic,4,0.129%
Willie L. Wilson,Democratic,2,0.065%
Martin J. O'Malley,Democratic,5,0.162%
John Wolfe,Democratic,3,0.097%
Jon Adams,Democratic,3,0.097%
Uncommitted,Democratic,18,0.582%
,Party Total:,"3,095",
,,,
Chris Christie,Republican,13,0.172%
Jeb Bush,Republican,31,0.411%
Ben Carson,Republican,90,1.193%
Donald J. Trump,Republican,"3,141",41.630%
Marco Rubio,Republican,366,4.851%
Ted Cruz,Republican,"3,261",43.221%
Rick Santorum,Republican,7,0.093%
Carly Fiorina,Republican,6,0.080%
John R. Kasich,Republican,584,7.740%
Rand Paul,Republican,15,0.199%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,17,0.225%
Uncommitted,Republican,14,0.186%
,Party Total:,"7,545",
,,,
Austin Petersen,Libertarian,16,61.538%
Steven Elliott (Steve) Kerbel,Libertarian,3,11.538%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,2,7.692%
Uncommitted,Libertarian,5,19.231%
,Party Total:,26,
,,,
Uncommitted,Constitution,6,100.000%
,Total Votes:,"10,672",
,,,

U.S. President,,,23 of 23 Precincts Reported
Hillary Clinton,Democratic,"1,388",48.856%
Henry Hewes,Democratic,6,0.211%
"Roque ""Rocky"" De La Fuente",Democratic,2,0.070%
Bernie Sanders,Democratic,"1,419",49.947%
Keith Judd,Democratic,1,0.035%
Willie L. Wilson,Democratic,5,0.176%
Martin J. O'Malley,Democratic,1,0.035%
John Wolfe,Democratic,3,0.106%
Jon Adams,Democratic,1,0.035%
Uncommitted,Democratic,15,0.528%
,Party Total:,"2,841",
,,,
Chris Christie,Republican,16,0.161%
Jeb Bush,Republican,28,0.281%
Ben Carson,Republican,80,0.803%
Donald J. Trump,Republican,"5,467",54.884%
Marco Rubio,Republican,473,4.749%
Ted Cruz,Republican,"2,985",29.967%
Rick Santorum,Republican,3,0.030%
Carly Fiorina,Republican,2,0.020%
John R. Kasich,Republican,846,8.493%
Rand Paul,Republican,8,0.080%
Jim Lynch,Republican,1,0.010%
Mike Huckabee,Republican,27,0.271%
Uncommitted,Republican,25,0.251%
,Party Total:,"9,961",
,,,
Austin Petersen,Libertarian,2,25.000%
Steven Elliott (Steve) Kerbel,Libertarian,1,12.500%
Rhett Rosenquest Smith,Libertarian,1,12.500%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,1,12.500%
Uncommitted,Libertarian,3,37.500%
,Party Total:,8,
,,,
Uncommitted,Constitution,5,100.000%
,Total Votes:,"12,815",
,,,

U.S. President,,,34 of 34 Precincts Reported
Hillary Clinton,Democratic,"2,076",46.589%
Henry Hewes,Democratic,4,0.090%
"Roque ""Rocky"" De La Fuente",Democratic,2,0.045%
Bernie Sanders,Democratic,"2,335",52.401%
Keith Judd,Democratic,2,0.045%
Willie L. Wilson,Democratic,2,0.045%
Martin J. O'Malley,Democratic,6,0.135%
John Wolfe,Democratic,2,0.045%
Jon Adams,Democratic,3,0.067%
Uncommitted,Democratic,24,0.539%
,Party Total:,"4,456",
,,,
Chris Christie,Republican,30,0.191%
Jeb Bush,Republican,45,0.286%
Ben Carson,Republican,115,0.731%
Donald J. Trump,Republican,"6,137",39.010%
Marco Rubio,Republican,694,4.411%
Ted Cruz,Republican,"7,332",46.606%
Rick Santorum,Republican,11,0.070%
Carly Fiorina,Republican,11,0.070%
John R. Kasich,Republican,"1,245",7.914%
Rand Paul,Republican,27,0.172%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,29,0.184%
Uncommitted,Republican,56,0.356%
,Party Total:,"15,732",
,,,
Austin Petersen,Libertarian,17,42.500%
Steven Elliott (Steve) Kerbel,Libertarian,3,7.500%
Rhett Rosenquest Smith,Libertarian,2,5.000%
Cecil Ince,Libertarian,2,5.000%
Marc Allan Feldman,Libertarian,2,5.000%
Uncommitted,Libertarian,14,35.000%
,Party Total:,40,
,,,
Uncommitted,Constitution,14,100.000%
,Total Votes:,"20,242",
,,,

U.S. President,,,13 of 13 Precincts Reported
Hillary Clinton,Democratic,233,46.322%
Henry Hewes,Democratic,1,0.199%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,255,50.696%
Keith Judd,Democratic,1,0.199%
Willie L. Wilson,Democratic,0,0.000%
Martin J. O'Malley,Democratic,0,0.000%
John Wolfe,Democratic,1,0.199%
Jon Adams,Democratic,0,0.000%
Uncommitted,Democratic,12,2.386%
,Party Total:,503,
,,,
Chris Christie,Republican,2,0.102%
Jeb Bush,Republican,11,0.562%
Ben Carson,Republican,19,0.971%
Donald J. Trump,Republican,"1,004",51.303%
Marco Rubio,Republican,90,4.599%
Ted Cruz,Republican,656,33.521%
Rick Santorum,Republican,1,0.051%
Carly Fiorina,Republican,1,0.051%
John R. Kasich,Republican,150,7.665%
Rand Paul,Republican,1,0.051%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,10,0.511%
Uncommitted,Republican,12,0.613%
,Party Total:,"1,957",
,,,
Austin Petersen,Libertarian,0,0.000%
